@relation 'newdata_train-weka.filters.unsupervised.attribute.Remove-V-R3-4,6,8'

@attribute PctImmigRec5 numeric
@attribute TotalPctDiv numeric
@attribute PctLess9thGrade numeric
@attribute levelofcrime {Low,High}

@data
0,12.37,7.65,Low
22.38,8.53,25.33,High
16.93,11.87,6.4,High
36.96,15.03,9.56,High
19.24,13.12,5.72,High
0,10.54,9.31,Low
2.54,11.67,13.51,High
8.29,8.66,2.91,Low
20.68,9.58,8.59,Low
25.38,6.55,3.81,Low
25.87,12.55,6.39,High
16.04,14.4,13.84,High
16.29,9.96,10.47,High
34.01,4.9,1.64,Low
16.97,7.28,8.19,High
32.53,10.84,10.61,High
30.25,8.14,2.1,Low
22.31,5.78,1.85,Low
14.63,12.35,25.43,High
27.69,9.89,35.64,High
21.92,14.88,19.15,High
36.66,17.06,10.96,High
25.04,9.44,3.06,Low
16.89,11.02,8.68,High
14.8,8.94,9.24,Low
24.61,9.37,22.72,Low
20.06,10.23,11.78,High
15.45,13.98,6.23,High
35.71,11.11,17.3,High
0,5.64,4.45,Low
30.12,15.59,6.8,Low
11.63,8.93,11.83,Low
33.76,12.04,10.02,High
19.8,8.81,2.75,Low
34.01,15.91,8.95,High
5.84,5.6,7.57,Low
18.7,8.46,5.85,Low
0,11.68,13.95,High
13.73,6.43,2.13,Low
19.47,12.89,4.2,High
3.1,10.45,8.24,Low
0,13.21,14.83,High
18.7,15.72,9.02,Low
31.69,9.62,5,High
20.07,15,3.04,High
26.66,8.9,11.46,High
38.12,14.24,9.48,Low
14.51,13.35,14.32,High
8.43,10.43,25.14,High
12.79,14.53,16.95,High
12.81,13.96,6.13,High
52.48,8.24,16.88,High
36.68,12.53,14.66,High
7.31,14.98,6.58,Low
37.56,9.05,13.22,High
22.21,10.45,12.85,High
23.76,7.05,0.98,Low
9.72,8.96,5.02,Low
10.53,9.55,4.72,Low
22.15,10.78,4.49,Low
6.78,11.83,7.63,Low
2.95,7.76,5.23,Low
0,14.42,21.54,High
19.79,14.64,7.26,High
9.64,11.78,9.35,Low
0.98,6.87,3.44,Low
42.59,13.82,24.62,High
11.49,7.07,3.89,Low
0,9.62,7.82,High
12.92,9.32,4.66,Low
8.55,8.86,28.2,High
43.84,12.64,13.36,High
51.56,12.52,12.14,High
7.64,11.04,8.72,Low
5.58,4.66,2.67,Low
12.68,12.12,17.12,High
50.77,15.73,20.61,High
15.53,15.85,10.65,High
22.29,8.58,2.62,High
60.36,12.58,4.42,Low
35,12.11,14.3,High
18.06,11.78,4.26,High
35.71,14.82,13.31,High
35.4,9.31,11.53,Low
14.53,12.6,10.14,High
12.39,14.19,11.05,High
6.87,7.99,4.85,Low
0,12.97,15.65,High
58.11,7.72,11.53,High
5.4,7.65,2.5,Low
31.44,11.74,8.33,High
18.51,11.26,5.79,Low
6.14,10.16,8.56,Low
9.97,13.08,3.56,Low
4.01,8.06,4.92,Low
29.03,8.86,2.4,Low
21.68,15.07,2.31,Low
13.15,14.39,7.23,High
32.23,12.69,8.91,High
17.1,12.94,16.96,High
10.76,8.93,6.93,Low
8.05,8.53,1.41,Low
18.2,17.1,9.43,High
20.38,12.28,23.45,High
4,6.42,3.3,Low
24.01,12.89,13.64,High
0,11.15,21.67,High
30.75,12.76,9.83,Low
32.88,12.63,11.99,High
7.01,6.27,6.03,Low
19.95,14.9,5.06,High
3.85,11.54,14.54,High
22.24,12.01,15.3,Low
18.27,14.17,5.96,Low
26.13,13.72,10.05,High
14.17,13.24,14.93,High
11.49,7.27,15.15,Low
18.62,16.29,13.74,High
12.1,10.72,5.66,Low
69.81,4.76,2.31,Low
18.69,8.46,2.33,Low
4.35,7.62,5.59,High
41.56,14.47,6,High
31.78,12.8,7.61,Low
21.18,7.67,2.17,Low
20.44,7.44,7.91,Low
32.6,17.28,9.99,High
28.9,11.66,9.03,High
2.4,6.95,9.52,Low
50.59,12.31,9.92,High
11.61,7.82,4.25,Low
16.65,7.93,12.35,Low
0.96,7.38,8.52,Low
27.35,8.81,26.03,High
20.12,10.06,4.96,High
34.58,18.04,7.27,High
13.33,14.85,16.46,Low
15.08,9.99,19.87,High
2.26,13.3,8.47,High
17.45,6.7,3.51,Low
15.36,9.11,35.19,Low
24.26,14.29,9.75,High
15.29,6.32,8.77,Low
22.34,13.03,10.79,Low
26.08,13.57,2.73,Low
25.35,12.2,8.48,High
25,8.39,7.82,Low
13.88,8.65,7.19,Low
28.24,13.63,8.61,High
9.55,9.26,8.8,Low
31.58,14,12.32,High
8.05,7.81,4.44,Low
11.14,5.72,1.19,Low
30.19,9.28,37.18,High
19.85,12.58,9.09,High
16.59,6.24,2.98,Low
12.46,10.87,4.23,Low
13.45,10.17,9.96,Low
17.49,10.3,14.75,High
6.18,8.1,6.1,Low
4.27,13.32,8.84,Low
36.61,13.12,9.94,High
11.5,13.3,2.75,High
15.19,11.26,4.22,High
25.12,10.48,3.24,Low
27.73,11.24,10.92,High
15.66,10.98,4.14,Low
13.18,10.18,9.16,Low
6.03,13.02,13.48,High
29.24,7.39,4.7,Low
34.89,8.71,2.99,Low
23.5,10.83,10.55,High
9.38,11.66,16.03,High
6.59,8.8,4.84,Low
25.88,13.01,16.63,Low
5.41,8.2,3.9,Low
28.87,12.51,3.32,Low
15.77,14.97,3.03,High
26.03,16.93,30.89,High
35.21,8.27,3.47,High
13.1,13.03,14.65,High
13.82,12.21,15.61,High
7.98,10.59,5.17,Low
28.03,10.94,2.52,Low
22.94,11.61,5.66,High
15.82,11.7,2.41,Low
24.2,8.98,10.52,Low
17.27,10.83,10.54,Low
28.27,6.28,0.57,Low
23.76,8.44,5.33,Low
10.69,11.89,11.92,Low
40.08,12.79,10.75,High
10.51,7.83,1.5,High
15.2,8.88,4.65,Low
8.7,6,3.85,Low
46.26,2.9,0.89,Low
2.85,5.92,4.96,Low
9.99,7.85,8.1,Low
6.37,9.7,6.93,Low
23.09,9.01,2.96,Low
22.95,10.57,7.87,High
15.91,12.8,6.53,Low
31.01,13.13,4.68,Low
7.12,14.96,10.43,High
19.07,13.38,2.69,Low
17.95,5.42,6.68,Low
19.26,11.95,9.41,High
43.24,7,3.39,Low
10.44,8.78,34.33,Low
4.39,13.73,14.27,Low
15.17,16.22,3.76,High
24.18,6.76,20.25,High
20.04,9.08,6.09,High
13.78,7.09,3.45,Low
4.76,13.15,11.66,High
25.49,13.42,3.62,High
17.45,17.29,5.3,High
26.61,16.49,7.18,High
22.96,10.14,12.93,Low
12.9,8.13,5.13,Low
7.07,11.86,10.58,High
22.65,15.11,13.04,High
7.84,11.6,8.29,High
26.47,13.75,6.33,High
41.29,8.62,2.4,Low
29.01,10.25,30.14,High
10.44,9.53,10.45,High
13.37,9.49,7.21,High
0,14.12,17.76,High
12.41,11.48,3.65,Low
6.44,10.97,10.45,High
7.5,4.61,3.11,Low
9.54,6.89,9.54,Low
15.16,8.19,4.27,Low
19.08,12.08,12.3,High
17.25,12.51,4.55,High
36.76,11.68,3.36,Low
42.72,10.29,5.08,High
18.42,10.27,3.84,High
28.33,9.66,27.25,High
24.33,15.89,8.56,High
17.9,9.07,9.51,Low
10.82,11.38,7.74,Low
11.26,8.07,6.17,Low
9.71,14.12,11.21,High
19.76,13.7,8.6,High
22.07,8.48,6.74,Low
18.68,14.5,6.56,Low
27.5,10.68,7.94,High
5,14.23,21.89,High
15.5,10.87,7.95,High
22.1,13.51,12.9,High
12.09,12.23,7.74,High
8.5,11.23,5.45,Low
16.93,7.01,4.64,High
10.86,10.09,9,Low
2.24,3.77,7.3,Low
17.14,13.72,9.19,High
9.67,4.98,1.3,Low
24.71,11.03,5.45,High
9.46,13.49,15.56,High
6.06,6.57,2.8,Low
32.66,10.69,10.13,High
14.53,11.04,19.94,High
8.9,11.43,12.58,High
23.01,12.85,16.43,High
8.88,10.92,10.81,Low
5.92,7.36,15.68,Low
13.06,11.77,11.11,High
14.16,12.19,7.44,High
22.46,13.32,8.69,High
18.03,6.83,3.01,Low
20.1,15.02,3.64,High
5.86,5.74,3.28,Low
42.62,8.25,12.71,Low
2.18,6.77,19.2,Low
15.72,6.62,1.83,Low
0,7.79,3.87,Low
31.46,13.28,10.23,High
24.21,12.12,23.31,High
23.39,9.1,2.53,High
42.21,8.11,10.5,Low
35.91,10.93,1.42,Low
20.29,12.51,6.8,High
13.27,10.07,22.7,High
27.97,13.73,5.84,High
27.61,16.93,13.8,High
14.58,15.48,7.68,Low
24.38,14.41,11.05,High
33.87,13,9.69,High
7.41,14.11,8.71,High
26.33,12.23,5.55,High
4.22,10.58,9.78,Low
26.11,14.75,10.01,High
55.73,9.02,11.83,Low
19.34,10.6,15.25,High
37.43,12.39,7.63,High
5.91,13.39,7.69,Low
54.64,4.14,3.4,Low
21.58,14.63,6.95,High
21.52,12.74,9.55,High
16.67,7.16,3.02,Low
19.89,9.84,4.83,Low
31.4,17.13,11.2,High
10.11,9.29,4.06,High
21.53,6.63,2.96,Low
17.81,13.04,13.53,High
9.61,8.8,17.07,Low
18.53,14.02,12.19,High
29.18,12.87,6.55,High
7.08,10.42,5.19,Low
5.84,6.76,7.32,Low
16.99,5.14,2.02,Low
28.78,10.13,4.15,High
4.73,12.22,11.11,Low
10.25,10.69,7.3,Low
9.51,15.1,5.14,High
15.36,9.75,6.13,High
26.02,13.25,6.74,High
31.44,14.36,11.46,High
28.06,14.45,8.72,High
35.51,10.34,4.17,Low
22.63,11.77,4.14,Low
26.55,12.54,18.79,High
20.06,10.69,3.06,Low
15.96,13.87,6.65,Low
34.22,12,5.48,High
30.29,14.74,8.79,High
9.62,15.09,4.84,Low
18.39,4.2,1.39,Low
29.62,8.99,46.43,High
13.98,6.99,7.21,Low
20.45,10.77,4.42,High
7.59,14.53,10.3,Low
10.16,6.99,6.3,Low
38.5,12.46,6.66,Low
11.94,6.68,3.83,Low
0,13.18,10.08,High
27.42,11.22,7.62,High
21.22,12.74,6.71,High
3.51,8.08,4.96,Low
0.9,8.64,17.3,Low
11.44,10.89,5.9,High
17.4,8.6,8.52,Low
10.96,9.15,1.24,Low
18.55,11.6,8.47,High
23.25,10.59,3.76,High
18.28,12.56,5.78,High
10.42,7.1,4.81,Low
37.55,8.7,8.71,Low
28.13,8.47,8.65,Low
19.05,7.12,5.07,Low
8.21,11.91,7.03,High
32.72,10.47,1.89,Low
23.46,11.06,10.56,Low
24.71,9.28,32.9,High
27.54,14.32,5.17,High
33.85,10.96,8.56,High
0,8.36,6.7,Low
9.31,7.5,1.19,High
7.43,9.63,11.01,Low
12.5,12.48,13.62,High
13.93,9.08,1.27,Low
22.22,13.67,15.97,High
39.07,12.76,5.78,Low
16.84,11.3,4.09,High
43.35,6.94,13.55,Low
24.16,12.75,6.1,Low
13.51,12.84,24.08,High
29.74,13.7,3.97,High
8.91,11.62,9.46,Low
42.43,7.35,3.31,Low
15.19,8.44,3.93,Low
18.74,4.23,4.54,Low
0,8.23,6.35,Low
18.94,7.68,4.46,Low
43.61,11.96,7.93,Low
55.31,10.68,11.4,High
22.63,9.9,2.45,Low
4.99,8.59,18.92,Low
10.85,10.52,33.08,High
13.94,12.26,6.33,High
28.94,12.28,11.42,Low
13.33,9.2,12.58,Low
21.36,8.98,12.84,Low
35.12,13.34,17.12,High
45.09,13.77,12.51,Low
9.03,11.23,7.82,Low
8.09,12.48,24.37,High
39.5,17.31,13.93,High
